Paper_ID,step_0_visual_inspection,step_1_concept_analysis,step_2_benchmark_verification,step_3_strategic_critique
O_ISAC_045,"The paper includes several figures, including Fig. 1, which shows a conceptual illustration of IOSAC in the ocean, and Fig. 2, which displays the BER performance and spectrum of the ring with two various ambient refractive indices.","The system uses a Si3N4 micro-ring resonator for simultaneous sensing and communication. The micro-ring resonator integrates the advantage of a low loss Si3N4 waveguide and a high sensitivity double-slots waveguide, achieving a balance between optical loss and sensitivity. The ISAC coupling mode is based on the micro-ring resonator, which allows for both sensing and communication over a 20 km fiber.","The paper reports a sensitivity of 294 nm/RIU in refractive index sensing and 1.25-Gbit/s OOK optical signal transmission over 20 km SMF. The reported metrics seem physically consistent, as the micro-ring resonator's design and the experimental setup support the claimed performance.","The paper solves the problem of simultaneous sensing and communication over a 20 km fiber using a Si3N4 micro-ring resonator. However, the remaining open challenges include the scalability of the system, the stability of the micro-ring resonator, and the potential applications of the system in real-world scenarios."
O_ISAC_046,"The paper includes several figures, including Fig.1(a) which shows the experimental setup, Fig.1(b) which displays the WDM signal spectrum at core-4, and Fig.2 which presents the impact of PI bandwidth on communication and sensing performance.",The system uses a co-wavelength-channel integration of ultra-low-frequency distributed acoustic sensing (DAS) and high-capacity communication over a 38-km weakly-coupled seven-core fiber. The ISAC coupling mode is achieved through frequency division multiplexing of the digital subcarrier modulation (DSM) signal and the chirped-pulse sensing signal at the same wavelength channel.,"The reported metrics, such as the sensing sensitivity of 3.89 - nε Hz @0.1-Hz with 20-m spatial-resolution and the transmission capacity of 241.85-Tb/s, are physically consistent with the hardware and methods described in the paper.","The paper solves the problem of integrating ultra-low-frequency DAS and high-capacity communication over a long-distance fiber link. However, the open challenge of further improving the sensing sensitivity and transmission capacity while reducing the system complexity and cost remains."
O_ISAC_047,"The paper includes several figures, including Fig. 1, which illustrates the digital signal processing (DSP) for the transceiver of the OTFS-based photonics-assisted W-band fiber-wireless ISAC system. Fig. 2 shows the traditional 2D-DFT and proposed ZP-2D-DFT schemes. Fig. 3 presents the experimental setup of the OTFS-based photonics-assisted W-band fiber-wireless ISAC system. Fig. 4 displays the SNR distribution on effective subcarriers for OFDM and OTFS signals. Fig. 5 shows the relationship between BER and ROP for OFDM and OTFS signals. Fig. 6 presents the received constellation diagrams for OFDM and OTFS signals. Fig. 7 illustrates the relationship between distance estimation and the factor Ar for the proposed ZP-2D-DFT scheme. Fig. 8 shows the normalized amplitude of the distance estimation result for the traditional 2D-DFT and proposed ZP-2D-DFT schemes. Fig. 9 presents the 3 dB main-lobe width of the distance estimation result for the traditional 2D-DFT and proposed ZP-2D-DFT sch","The system uses an OTFS waveform based on photonics-assisted technology in a W-band fiber-wireless ISAC system. The OTFS signal is modulated in the delay-Doppler (DD) domain, which enhances the robustness of the signal against frequency-selective fading. A zero-padding two-dimensional discrete Fourier transform (ZP-2D-DFT) scheme is proposed for the OTFS-based photonics-assisted W-band fiber-wireless ISAC system.",The paper reports a communication data rate of 5.44 Gbit/s and a theoretical ranging resolution of 1.58 cm. The experimental results show that the proposed ZP-2D-DFT scheme can effectively improve the sensing accuracy and theoretical resolution of the ISAC system.,"The paper solves the problem of achieving high communication data rates and accurate ranging resolutions in a W-band fiber-wireless ISAC system. However, the remaining open challenges include further improving the sensing accuracy and theoretical resolution of the ISAC system, as well as exploring the application of the proposed ZP-2D-DFT scheme in other scenarios."
O_ISAC_048,"The system model of the DCO-OFDM scheme for FSO-ISAC is illustrated in Fig. 1, which shows the FSO-ISAC transceiver based on a LiDAR.",The optimization problem is formulated to maximize the spectral efficiency for communication while guaranteeing the sensing precision.,The numerical simulations demonstrate the effectiveness of the proposed algorithm and reveal the trade-off between communication and sensing functionalities.,"The proposed DCO-OFDM scheme and the iterative algorithm can efficiently optimize the power allocation for FSO-ISAC, and the trade-off between communication and sensing functionalities can be modified by tuning the desired sensing precision."
O_ISAC_049,"The paper presents a system model for an integrated visible light communication and sensing (IVLCS) system, which includes a transceiver and M users. The transceiver, including an LED and a PD, is deployed on the ceiling, while each user including a PD is deployed on the floor.","The system uses a joint optimization of slot selection and power allocation to minimize the total transmitted power under the echo-to-noise ratio constraint, communication sum rate constraint, sensing slot number constraint, and power constraint. The system employs a sensing priority and power minimization-based joint slot selection and power allocation (SPPM-JSSPA) algorithm to solve the problem.","The paper presents numerical results to verify the effectiveness of the proposed algorithms and compare them with existing algorithms. The results show that the proposed SPPM-JSSPA algorithm can obtain the best performance compared to the existing algorithms, and the low-complexity FSSPA algorithm can achieve a comparable performance to the SPPM-JSSPA algorithm.","The paper solves the problem of joint optimization of slot selection and power allocation for an IVLCS system. However, the paper does not consider the optimization of the number of sensing slots, which is left as future work. Additionally, the paper assumes that the communication is the secondary purpose, and the sensing is the primary purpose, which may not always be the case in practice."
O_ISAC_050,The paper discusses a novel OFDM-based simultaneous position and orientation detection (SPAO) approach for visible light communication (VLC) systems. The system model includes M LED transmitters and one user device (UD) receiver with photodiodes. The approach aims to alleviate multipath interference and random fading in diffuse scattering environments.,"The SPAO problem is formulated as a maximum a posteriori problem, which is non-convex due to the nonlinear relationship between VLC signal waveforms and UD location parameters. A majorization-minimization (MM)-based SPAO algorithm is proposed to address the non-convexity issue.","The proposed MM-based SPAO algorithm is compared with several baseline methods, including RSS-based SPAO, line search-based SPAO, and gradient descent-based SPAO. The simulation results show that the proposed algorithm outperforms the baseline methods in terms of localization error and orientation error.",The paper highlights the importance of considering diffuse scattering and random fading in VLC-based SPAO systems. The proposed MM-based SPAO algorithm provides a promising solution for alleviating these effects and achieving accurate localization and orientation estimation.
O_ISAC_051,"The paper presents a novel LiDAR system called Phase-Shift Laser Ranging with Communication (PLRC) that integrates sensing and communication functions. The system uses a pseudo-random noise (PRN) code to modulate the phase of a subcarrier signal, which is then used for both ranging and communication. The paper includes several figures, including a block diagram of the PLRC system, waveforms of the local and echo signals, and a plot of the bit error rate (BER) vs. signal-to-noise ratio (SNR).","The PLRC system uses a PRN code to modulate the phase of a subcarrier signal, which is then used for both ranging and communication. The system operates in continuous wave mode, where the communication and ranging functions are executed with the same signal. The PRN code is used to spread spectrum the communication data, and the phase of the subcarrier signal is used to measure the distance to the target. The system uses a correlation operation to extract the codeword synchronization positions of the echo and local signals, and then uses a phase-shift measurement to derive the distance to the target.","The paper reports a range precision of 3.54 × 10^−3 m and a communication capacity of 1.43 Mbit/s. The range precision is validated by the experimental results, which show a minimum standard deviation of 3.54 × 10^−3 m of measurement distance at a high-speed measurement rate of 285 kHz. The communication capacity is also validated by the experimental results, which show a BER of 10^−9 at an SNR of 20 dB.","The PLRC system solves the problem of integrating sensing and communication functions in a single system, and achieves a high range precision and communication capacity. However, the system still faces challenges such as the effect of atmospheric turbulence on the communication signal, and the need for a high-speed and high-precision signal processing algorithm to extract the distance information from the echo signal."
O_ISAC_052,"The paper presents an optical wireless (OW)-ISAC scheme based on asymmetrically clipped direct-current-biased optical orthogonal frequency division multiplexing (ADO-OFDM). The system model is shown in Fig. 1, which includes blocks for C&S, specific components for sensing, and specific components for communication.","The system uses ADO-OFDM, which combines DCO-OFDM and ACO-OFDM. The Bussgang theorem is adopted to model the clipped OFDM signal and analyze the clipping noise. The system also uses signal processing techniques to exploit the properties of the clipping noise.",The paper presents numerical results that demonstrate the effectiveness of the proposed ADO-OFDM scheme and reveal the trade-off between communication and sensing functionalities in OW-ISAC.,"The paper solves the problem of adaptive resource allocation in ADO-OFDM for OW-ISAC. However, the paper also highlights the trade-off between communication and sensing functionalities, which remains an open challenge."
O_ISAC_053,"The paper includes several figures, such as Fig. 1, which shows the 3D models of the Coordinator and the Worker, and Fig. 2, which illustrates the implemented control loop in the proposed VLC-VLS ISAC system. Fig. 3 shows the implemented Sensing and Illumination phases, and Fig. 4 displays an exemplary calibration curve. Fig. 5 depicts the parameters and transmitted commands for a rotation from 0° to 200°, and Fig. 6 presents the measurement results of the comparison between VLS and internal Hall sensor in dark and ambient light conditions.","The system proposed is an Integrated Sensing and Communication (ISAC) system based on Visible Light Communication (VLC) and Visible Light Sensing (VLS). The ISAC system consists of two main parts: the Coordinator and the Worker. The Coordinator uses a Cree MC-E Color RGBW LED to emit light, which is then reflected by a retroreflective foil attached to a rotating cylinder on the Worker. The reflected light is received by the Coordinator, which uses it to determine the rotation angle of the cylinder. The Coordinator then sends commands to the Worker using VLC to adjust the rotation angle. The system uses a PID controller to control the rotation angle and prevent overshoot.","The paper reports an average absolute deviation of 1.2° and 1.3° in the rotation angle determination in dark and ambient light conditions, respectively. The maximum absolute error is 5°, which is attributed to imperfections in the retroreflective foil. The results are comparable to those of commercial rotary position sensors, such as the ams AS560, which has a deviation of ±1°.","The paper demonstrates the feasibility of a VLC-VLS ISAC system for remote sensing and control of a rotating cylinder. The system achieves high accuracy and can adapt to changing ambient light conditions. However, the range of applicable rotation angles is limited due to the necessity of unique reflections from the retroreflective foil. Future work aims to increase the range of rotation angles and improve the accuracy of the rotation angle determination."
O_ISAC_054,"The paper presents a new optical integrated sensing and communication (O-ISAC) framework tailored for cost-effective light-emitting diode (LED) for enhanced Internet of Things (IoT) applications. The system model consists of multiple distributed optical access points (O-APs) equipped with LEDs and pinhole cameras, which enable both optical communication and sensing. The paper also includes several figures and tables that illustrate the system's performance and optimization results.","The O-ISAC system operates in two phases: directionless and directional. In the directionless phase, the O-APs broadcast control messages to all devices and sense the devices' state with reflected light. In the directional phase, the O-APs serve devices in a time-division multiple access (TDMA) fashion, and optical beamforming is used to concentrate light intensity on the target device. The system uses a pinhole imaging principle to map reflected light onto a film plane for sensing, and the received light intensity is used for both communication and sensing.","The paper presents numerical and simulation results that demonstrate the feasibility and performance of the O-ISAC system. The results show that the proposed system outperforms a separate communication and sensing system in terms of bit error rate (BER) and mean-squared error (MSE) of position estimation. The paper also provides a detailed analysis of the system's performance and optimization results, including the impact of optical beamforming and the use of a photodetector (PD) array.","The paper addresses the challenges of incoherent light, divergent light, and massive echo in LED-based O-ISAC systems. The proposed system solves these problems by using noncoherent detection, intensity modulation, and direct detection (IM/DD) for optical communication, and pinhole imaging principle for optical sensing. However, the paper also notes that there are still open challenges, such as the frequency dispersion effect of LEDs and the need for further optimization of the system's parameters."
O_ISAC_055,"The paper includes several figures, including Fig. 1, which illustrates the proposed system model of LFM-CPM signal for optical ISAC, and Fig. 2, which depicts the minimum square Euclidean distance for M=2 and L=4 with different observation intervals. Fig. 3 shows the BER for communication concerning different modulation indices, and Fig. 4 displays the RMSE for sensing concerning different modulation indices and chirp rates. Fig. 5 illustrates the maximum achievable data rate with constraints on the BER and sensing precision.","The proposed system combines linear frequency modulation (LFM) and continuous phase modulation (CPM) for free space optics (FSO) based integrated sensing and communication (ISAC). The LFM-CPM signal is modified to be compatible with optical intensity modulation and direct detection (IM/DD). The system model includes a transmitter, a channel, and a receiver. The transmitter generates the LFM-CPM signal, which is then transmitted through the FSO channel. The receiver detects the signal and estimates the time of flight (ToF) for sensing and demodulates the signal for communication.","The paper provides theoretical derivations for the achievable data rate, bit error rate (BER), and Cramér-Rao Bound (CRB) for sensing. The numerical simulations demonstrate the simultaneous communication and sensing abilities of the proposed LFM-CPM scheme and reveal the trade-off between communication and sensing functionalities in system parameters. The results show that the LFM-CPM signal can achieve superior sensing performance and avoid BER deterioration caused by phase ambiguities of CPM.","The proposed LFM-CPM scheme solves the problem of achieving simultaneous communication and sensing in FSO systems while avoiding BER deterioration caused by phase ambiguities of CPM. However, the scheme requires careful parameter setup to optimize the trade-off between communication and sensing functionalities. The open challenges include further optimizing the system parameters, exploring other modulation schemes, and investigating the implementation of the proposed scheme in practical scenarios."
O_ISAC_056,"The paper presents a system model for Optical Integrated Sensing and Communication (O-ISAC) with a single-antenna transmitter, an n-antenna monostatic sensing receiver, and a single-antenna communication receiver. The system uses intensity modulation direct detection (IM/DD) and is analyzed for its capacity-distortion (C-D) tradeoff.","The system mechanism involves a point-to-point O-ISAC system with a single-input single-output (SISO) for communication and single-input multiple-output (SIMO) for sensing. The ISAC coupling mode is based on a joint waveform design, where the same waveform is used for both sensing and communication.","The paper reports on the optimal C-D tradeoff, which is validated through numerical results. The reported metrics, such as the mean squared error (MSE) of the target distance estimation, are physically consistent with the system model and the ISAC coupling mode.","The paper solves the problem of characterizing the optimal C-D tradeoff for O-ISAC systems. However, open challenges remain, such as the development of more practical and efficient algorithms for determining the optimal input distribution and the analysis of the system performance in more complex scenarios, such as multi-user and multi-target scenarios."
O_ISAC_057,"The paper includes several figures, including Figure 1, which shows the schematic diagram of the proposed 60-GHz mm-wave joint radar-communication system, and Figure 2, which shows the optical spectrum and instantaneous frequency of the mm-wave LFM-OOK joint signal.",The system uses photonic techniques to generate and de-chirp mm-wave ultra-wideband linearly frequency modulated continuous wave (LFMCW) radar signals. The on-off keying (OOK) signal is directly modulated onto the LFMCW radar signals for high-capacity wireless communication. The system achieves a range resolution of 1.8-cm and a 1-Gbit/s communication data rate.,"The reported metrics, such as the range resolution of 1.8-cm and the communication data rate of 1-Gbit/s, are physically consistent with the system's design and the principles of photonic generation and de-chirping of mm-wave ultra-wideband LFMCW radar signals.","The system solves the problem of achieving high-resolution radar detection and high-capacity wireless communication simultaneously. However, the system's complexity and the need for precise control of the photonic components may pose challenges for practical implementation and scalability."
O_ISAC_058,"The paper presents a photonic-based W-band ISAC system for fiber-wireless networks, with a focus on multitarget detection. The system uses a combination of linear frequency modulation (LFM) and subcarrier modulation (SCM) signals to achieve a balance between sensing and communication. The system's performance is evaluated through simulations and experiments, demonstrating its ability to detect multiple targets with high range resolution and communication data rates.","The system uses a photonic-based approach to generate high-frequency broadband signals for both sensing and communication. The ISAC coupling mode is based on frequency-division multiplexing (FDM), where the LFM signal is used for radar sensing and the SCM signal is used for communication. The system's mechanism involves the use of a Mach-Zehnder modulator (MZM) to modulate the optical signal, which is then transmitted through a fiber-wireless link.","The paper reports a range resolution of 1.76 to 3.15 cm and a communication data rate of 15 to 60 Gbit/s. These metrics are physically consistent with the system's design and parameters, such as the bandwidth of the LFM signal and the power ratio between the SCM and LFM signals.","The paper solves the problem of multitarget detection in photonic-based ISAC systems by proposing a novel system design and signal processing approach. However, the paper also identifies remaining open challenges, such as the need for further optimization of the system's parameters and the development of more advanced signal processing algorithms to improve the system's performance in complex scenarios."
O_ISAC_059,"The paper discusses the integration of Terrestrial Networks (TNs) and Non-Terrestrial Networks (NTNs) for 6G networks, focusing on the potential of Integrated Sensing and Communication (ISAC). Figures 1, 2, and 3 illustrate the concept of ISAC, TN-NTN architectures, and a two-layer control system, respectively.","The paper explores the concept of ISAC, which involves the integration of sensing and communication functionalities. The authors discuss the potential benefits of ISAC, including improved sensing accuracy, enhanced communication performance, and increased efficiency. The paper also highlights the importance of managing and orchestrating TN-NTN architectures for ISAC.","The paper discusses the challenges associated with integrating TNs and NTNs, including the need for advanced management and orchestration techniques. The authors highlight the importance of considering the dynamic nature of NTNs and the need for flexible and resilient architectures. The paper also mentions the potential benefits of using ISAC in various applications, such as vehicular networks, industrial IoT, and space sustainability.",The paper provides a comprehensive overview of the current state of ISAC and its potential applications. The authors highlight the importance of considering the integration of TNs and NTNs for ISAC and discuss the challenges associated with managing and orchestrating these architectures. The paper also provides insights into the potential benefits of using ISAC in various applications and highlights the need for further research in this area.
O_ISAC_060,"The paper includes several figures, including Figure 1, which shows the block diagram of the proposed ISAC-OW system, and Figures 2 and 3, which illustrate the BER performance and ranging result, respectively.","The proposed system uses a unified waveform based on QPSK and DSSS, where the user data is loaded onto a PN sequence by direct spread spectrum. This allows for both LiDAR ranging and communication functions to be performed simultaneously.","The paper reports a BER performance improvement of 1.5dB and 7.5dB under weak and moderate turbulence conditions, respectively, when using spread spectrum. The ranging result shows a high accuracy of 100.011m, indicating the effectiveness of the proposed method.","The proposed system addresses the challenge of designing a unified waveform for ISAC-OW systems, enabling both LiDAR ranging and communication functions. However, the system's performance under strong turbulence conditions and its scalability for multiple targets remain open challenges."
O_ISAC_061,"The paper proposes an Optical Phased Array (OPA)-based Optical Wireless Integrated Sensing and Communication (OW-ISAC) framework. It includes system models for both communication and sensing, and derives dedicated performance metrics for each subsystem. The system uses a uniform line array of edge emitters and serves multiple communication user equipment (UE) simultaneously, while also conducting sensing for the direction of interest like a scanning LiDAR.","The OPA-based OW-ISAC system uses optical beamforming and atmospheric propagation to enable concurrent multi-user communication and environment imaging. The system mechanism involves the use of a precoding matrix to control the optical beams, and the ISAC coupling mode is based on the multi-beam property of the OPA, which is mitigated and exploited through the use of a photodiode (PD) array with various steering angles.","The paper derives dedicated performance metrics for the communication and sensing subsystems, including the light-field signal-to-interference-plus-noise ratio (SINR) for communication and the contrast metric for sensing. The metrics are validated through numerical simulations, which demonstrate the effectiveness of the proposed OPA-based OW-ISAC framework in achieving high-precision sensing and reliable communication capabilities.","The paper solves the problem of integrating sensing and communication in an optical wireless system using an OPA-based approach. However, the system still faces challenges such as the tradeoff between communication and sensing performance, and the need for further optimization of the precoding matrix and PD orientations to achieve better performance. Additionally, the system's performance in realistic scenarios, such as intelligent transportation systems (ITS), needs to be further evaluated."
O_ISAC_062,"The paper discusses a novel VLC-enabled anti-disturbance mechanism for 6-DoF SLAP detection to address environment disturbance via cross-domain cooperation between ""VLC"" and ""state sensing"". The system setup consists of a VLC-based SLAP detection system with NL LEDs and one UD equipped with a PD array.","The concept of VLC-based SLAP detection is analyzed, and the system model is presented, including the channel model and received signal model. The paper proposes a novel SCA-based optimization algorithm for VLC-based SLAP detection to address its non-convex optimization over angle-space manifolds.","The paper verifies the physical consistency of reported metrics and validates the performance of the proposed SCA-based SLAP detection algorithm. The algorithm is compared with state-of-the-art baselines, and its performance is evaluated using simulation results.","The paper identifies the solved problems and remaining open challenges in VLC-based SLAP detection. The strategic implications of the proposed algorithm are discussed, including its potential applications and limitations."
O_ISAC_063,"The paper discusses a method for characterizing the full-field frequency response of a coherent Transmitter Optical Sub-Assembly (TOSA). The method uses multiple dual-tone signals with specially designed frequency positions to extract the amplitude frequency response (AFR) and phase frequency response (PFR) of the TOSA. The paper includes several figures, including a schematic of the TOSA, simulation results, and experimental results.","The system mechanism involves using multiple dual-tone signals to characterize the TOSA's frequency response. The ISAC coupling mode is not explicitly mentioned, but the paper focuses on characterizing the TOSA's frequency response, which is a crucial aspect of ISAC systems.",The paper reports a maximum AFR deviation of less than 1 dB over the 10 dB bandwidth and a maximum PFR deviation of less than 0.25 rad. These values are physically consistent with the expected performance of a TOSA.,The paper solves the problem of characterizing the full-field frequency response of a TOSA using a simple and precise method. The remaining open challenge is to further improve the accuracy and robustness of the method for various TOSA architectures and operating conditions.
O_ISAC_064,"The paper discusses integrated sensing and communications for metropolitan environments, focusing on distributed optical fiber vibration sensing (DOFVS) and its applications in smart cities. Figure 1 shows an example route of the deployed fiber under study in Hong Kong.","The system mechanism involves using fiber interferometry to add vibration sensing to unidirectional coherent transmissions, integrating sensing with coherent transmissions by inserting linear frequency modulation (LFM) probe into the training symbols of optical communication data frames, and combining DAS and optical heterodyne radio over fiber by substituting traditional single-tone carrier with LFM carrier.","The paper reports various applications of the proposed system, including traffic monitoring and other smart city applications, using multiple deployed fibers across Hong Kong. However, specific performance metrics such as range resolution, range accuracy, and data rate are not explicitly reported in the provided text.","The solved problem is the integration of sensing and communications in metropolitan environments using distributed optical fiber vibration sensing. The remaining open challenge is the widespread deployment and commercialization of such systems. The strategic implication is the potential for smart city applications, including real-time traffic monitoring, security, and intrusion detection."
O_ISAC_065,"The paper includes several figures, including Fig. 1, which depicts the OCDM waveform generation scheme and the receiving signal processing schemes of the communication and sensing applications. Fig. 2 shows the schematic experimental configuration for the ToF-based ISAC systems. Fig. 3 displays the optical spectrum of the optical frequency comb after the PM and the optical spectrum of the OC output. Fig. 4 shows the CCDF curves of the PAPR performance. Fig. 5 exhibits the simulated transmission performance of the precoding-OFDM, precoding-OCDM, OCDM, and OFDM. Fig. 6 displays the transmission performance of the OCDM and OFDM ISAC waveforms in the ToF system. Fig. 7 shows the received constellation diagrams without equalization, with linear equalization, and with non-linear equalization at 3.5 mA photocurrent. Fig. 8 compares the SNR of each data sub-chirp and sub-carrier. Fig. 9 shows the RD images of the ISAC system at 0.2 m range. Fig. 10 exhibits the normalized range cuts at the ve","The system uses an orthogonal chirp division multiplexing (OCDM) waveform-based terahertz-over-fiber (ToF) system for integrated sensing and communication (ISAC) applications. The OCDM waveform is generated using a discrete Fresnel transform and is used for both communication and sensing. The system uses a photonic-based approach, with an optical frequency comb generated using a phase modulator and an external cavity laser. The OCDM signal is modulated onto the optical frequency comb and transmitted over a 10 km optical fiber and a 3.14 m wireless link. The received signal is then processed using a Schottky mixer and a digital signal processing algorithm to extract the communication and sensing information.","The paper reports a data rate of 32 Gbit/s and a range resolution of 1.875 cm. The physical consistency of these metrics can be verified by analyzing the system's parameters, such as the bandwidth, modulation format, and signal processing algorithms. The reported metrics are physically consistent with the system's parameters and the experimental setup.","The paper solves the problem of achieving high-data-rate communication and high-resolution sensing in a terahertz-over-fiber system using an OCDM waveform. The remaining open challenges include further improving the system's performance, such as increasing the data rate and range resolution, and reducing the system's complexity and power consumption. Additionally, the paper highlights the need for further research on radar processing algorithms and waveform improvement methods to enhance the system's radar performance."
O_ISAC_066,"The paper discusses the concept of interaction-tolerant (IT) soliton signals for dual-polarization transmission in nonlinear frequency division multiplexing (NFDM) systems. The authors propose a pre-distortion scheme to mitigate the collision distortion on the soliton quantities, which is determined by the polarization angle and polarization differential phase of two solitons.","The system mechanism is based on the nonlinear Fourier transform (NFT) and the Manakov equation, which describes the propagation of optical signals in nonlinear optical fibers. The IT soliton signal is designed to mitigate the interaction between adjacent solitons, and the pre-distortion scheme is used to cancel the collision distortion on the soliton quantities.","The authors provide numerical results to verify the effectiveness of the pre-distortion scheme, which shows a significant performance improvement in long-haul fiber optical transmission compared to the normal soliton signals.",The solved problem is the mitigation of collision distortion on the soliton quantities in IT soliton signals for dual-polarization transmission. The remaining open challenge is the further improvement of the spectral efficiency of the signal and the development of more efficient digital signal processing techniques for NFDM systems.
O_ISAC_067,"The paper includes several figures, including Figure 1, which shows the top-view schematic of the measurement set-up, and Figure 2, which displays the RT model with the forklift truck in the middle of the track in Blender. Figure 3 shows a composite picture taken by the TX of the channel sounder with the isotropix RT simulations for two positions of the forklift. Figure 4 displays the synthetic omni-directional PDP for the different positions of the forklift truck calculated from the measurements and simulations. Figure 5 shows the measured and simulated synthetic omnidirectional PDP for different positions of the forklift truck.","The paper presents a measurement-based validation of a ray-tracing model at sub-THz for ISAC applications in an industrial scenario. The system mechanism involves the use of a channel sounder to measure the propagation channel in an industrial environment, and the ray-tracing model is used to simulate the channel. The ISAC coupling mode is not explicitly stated, but it can be inferred that the system is designed to enable simultaneous sensing and communication.","The paper reports a good agreement between the measured and simulated marginal power profiles, which suggests that the ray-tracing model is able to accurately predict the channel characteristics. However, there are also some discrepancies between the measurements and simulations, which are attributed to various factors such as the simplification of the digitized shapes and the limited resolution of the measurement system.","The paper solves the problem of validating a ray-tracing model for ISAC applications in an industrial scenario. However, there are still some open challenges, such as improving the accuracy of the model and reducing the computational complexity of the simulations. Additionally, the paper highlights the need for further research on the development of ML-based algorithms for ISAC applications."
O_ISAC_068,"The paper includes two figures: Figure 1 illustrates the typical architecture of JCS systems in both RF and VL domains, and Figure 2 shows an exemplary illustration of a VLC-based sensing setup. The figures provide a visual representation of the concepts discussed in the paper.","The paper discusses Joint Communication and Sensing (JCS) systems, which integrate communication and sensing functionalities within a unified framework. The JCS system's architecture is composed of a transmitter, receiver, and signal processing algorithms. The paper explores two main approaches: Radio Frequency (RF) JCS and Visible Light (VL) JCS. The RF JCS approach utilizes RF signals for both communication and sensing, while the VL JCS approach uses visible light for both purposes.","The paper reports various metrics, including data rates, sensing accuracy, and communication performance. However, the paper does not provide explicit numerical values for these metrics. The reported results are mostly qualitative, discussing the potential benefits and challenges of JCS systems. Therefore, it is challenging to verify the physical consistency of the reported metrics without additional numerical data.","The paper identifies several challenges associated with current communication and sensing systems, including bandwidth limitations, spectrum crowding, security and privacy concerns, energy efficiency, compatibility, cost, accuracy, precision, limited sensing range, power consumption, interference, and environmental impacts. The paper proposes JCS systems as a potential solution to these challenges. However, the paper also highlights several open challenges, including standardization, interference management, and hardware limitations, which need to be addressed to fully realize the potential of JCS systems."
O_ISAC_069,"The paper discusses the use of Distributed Acoustic Sensing (DAS) with submarine cables for seismology applications. It presents a signal processing approach for seismic analysis using data obtained from underwater DAS. The system uses a DAS interrogator and a submarine optical fiber to detect seismic waves. The paper also discusses the preprocessing of raw DAS data, seismic recognition after feature extraction and event classification, and seismic analysis of localization and magnitude estimations.","The system mechanism is based on the use of DAS with submarine cables to detect seismic waves. The ISAC coupling mode is not explicitly mentioned, but it can be inferred that the system uses a joint signal processing approach for both sensing and communication.","The paper reports a high signal-to-noise ratio (SNR) improvement of 3.02 dB to 8.42 dB after denoising, and a seismic recognition rate of 7/7 using hierarchical clustering. The results are physically consistent with the expected performance of a DAS system.","The paper solves the problem of seismic analysis using DAS with submarine cables, but leaves open challenges such as automatically adjusting parameters during signal preprocessing, accurately locating epicenters with multiple sensing fibers, and estimating absolute seismic magnitude."
O_ISAC_070,"The paper discusses photonic THz-ISAC systems with integrated waveforms, focusing on system-level investigations and recent global research progress. The paper includes several figures and tables, such as Fig. 1, which illustrates the principles of typical integrated sensing and communication waveform implementation, and Table I, which summarizes recent representative photonic ISAC demonstrations in the millimeter-wave and THz bands enabled by integrated waveforms.","The paper explores the concept of integrated sensing and communication (ISAC) systems, which enables ultra-efficient spectrum utilization and reduces hardware costs. The authors discuss the potential of the terahertz (THz) band for ISAC applications, leveraging ultra-broad bandwidth for high-capacity data links and ultra-precision sensing. The paper also introduces the idea of integrated waveforms, which can efficiently combine sensing and communication functionalities.","The paper presents several experimental demonstrations of photonic THz-ISAC systems using integrated waveforms. The authors evaluate the performance of these systems in terms of communication and sensing metrics, such as bit error rate (BER), signal-to-noise ratio (SNR), and peak sidelobe ratio (PSLR). The results show that the proposed systems can achieve high-speed data transmission and accurate sensing capabilities.","The paper discusses the challenges and limitations of photonic THz-ISAC systems, such as the need for high-frequency stability and narrow linewidth optical sources, and the limited output power and severe path loss in THz frontend. The authors also highlight the potential of advanced optical sources, such as Kerr combs and injection-lock-in laser banks, and the importance of photonic THz beamforming techniques. The paper concludes by emphasizing the need for further research efforts to address these challenges and fully exploit the potential of photonic THz-ISAC systems."
O_ISAC_071,"The paper proposes a full-duplex RO-ISAC system based on wavelength division duplexing (WDD) with a hybrid single-carrier and multi-carrier (HSM) waveform. The system uses blue and green lights for downlink and uplink transmissions, respectively, and employs a pair of blue and green optical filters to avoid interference between the reflected downlink signal and the uplink signal.","The system mechanism is based on retroreflective optical ISAC (RO-ISAC), which equips the target with a corner cube reflector (CCR) to enhance light reflection. The HSM waveform consists of both pulse amplitude modulation (PAM) and orthogonal frequency division multiplexing (OFDM) samples, allowing for flexible performance trade-off between communication and sensing.","The paper reports a downlink data rate of 125 Mb/s and an uplink data rate of 12.5 Mb/s, with a ranging root mean square error (RMSE) of less than 4 cm. The system achieves full-duplex transmission using WDD, and the HSM waveform enables flexible trade-off between communication and sensing performance.","The proposed system addresses the challenges of bidirectional transmission and waveform design in RO-ISAC systems. The use of WDD and HSM waveform enables full-duplex transmission and flexible performance trade-off, making it a promising solution for 6G mobile communication systems."
