"claim_id","claim_short","paper_id","year","title","venue","doi","modality","evidence_type","where_in_paper","supporting_excerpt","why_it_supports","metric_terms","terminology_terms","cross_domain_note","confidence","source_path","source_locator"
"C2","Metric definition/usage","O_ISAC_047","2025","Zero-Padding 2D-DFT Scheme for Photonics-Assisted W-Band Fiber-Wireless ISAC System With Orthogonal Time Frequency Space Modulation","Journal of Lightwave Technology","10.1109/JLT.2025.3602312","Photo-THz","Experimental","Zero-Padding 2D-DFT Scheme for Photonics-Assisted ","diagram of the experimental scenario. And the theoretical ranging resolution $\Delta R$ is given by $$\Delta R = \frac{c}{2A_r M \Delta f}.$$ (13) ##","Defines/uses metric 'Δr' with specific formula or value.","Δr","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_047\O_ISAC_047.md","Zero-Padding 2D-DFT Scheme for Photonics-Assisted W-Band Fiber-Wireless ISAC System With Orthogonal Time Frequency Space Modulation > B. DSP of the Communication Receiver > C. DSP of the Radar Receiver (L135)"
"C2","Metric definition/usage","O_ISAC_048","2023","Power Allocation for OFDM-Based Free Space Optical Integrated Sensing and Communication","IEEE Transactions on Communications","10.1109/TCOMM.2023.3265735","FSO","Simulation","I. INTRODUCTION > C. Clipping Noise Statistics","as a Gaussian random process uncorrelated to the original signal, and therefore the normalized SNR $\gamma_c(b)$ for communication and $\gamma_s(b)$ for sensing are expressed","Defines/uses metric 'SNR' with specific formula or value.","SNR","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_048\O_ISAC_048.md","I. INTRODUCTION > C. Clipping Noise Statistics (L114)"
"C2","Metric definition/usage","O_ISAC_048","2023","Power Allocation for OFDM-Based Free Space Optical Integrated Sensing and Communication","IEEE Transactions on Communications","10.1109/TCOMM.2023.3265735","FSO","Simulation","I. INTRODUCTION > C. Clipping Noise Statistics > I","satisfied by $\tilde{P}_c(k)$ , while the problem is still feasible for $\tilde{P}_s(k)$ . Consequently, a trade-off exists between communication and sensing metrics, and the","Defines/uses metric 'trade-off' with specific formula or value.","trade-off","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_048\O_ISAC_048.md","I. INTRODUCTION > C. Clipping Noise Statistics > III. OPTIMAL POWER ALLOCATION FOR DCO-OFDM > B. Power Allocation for Subcarriers (L242)"
"C2","Metric definition/usage","O_ISAC_049","2023","Joint Optimization of Slot Selection and Power Allocation in Integrated Visible Light Communication and Sensing Systems","IEEE Journal","10.1109/JIOT.2023.3303137","VLC","Simulation","VII. CONCLUSION > REFERENCES","8259–8275, Oct. 2022. - [\[25\]](#page-1-9) P. Sharda and M. R. Bhatnagar, ""Diversity-multiplexing tradeoff for indoor visible light communication,"" in *Proc. 16th IEEE Int. Conf.","Defines/uses metric 'trade-off' with specific formula or value.","trade-off","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_049\O_ISAC_049.md","VII. CONCLUSION > REFERENCES (L717)"
"C5","Framework/benchmark need","O_ISAC_049","2023","Joint Optimization of Slot Selection and Power Allocation in Integrated Visible Light Communication and Sensing Systems","IEEE Journal","10.1109/JIOT.2023.3303137","VLC","Simulation","<span id=""page-6-2""></span>Algorithm 5: Proposed S","and the FSSPA algorithm, the following two algorithms are proposed as the benchmarks. ![](_page_8_Figure_10.jpeg) Fig. 4. Convergence of total communication power for the proposed","Discusses 'benchmark' in context of need/lack/proposal.","","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_049\O_ISAC_049.md","<span id=""page-6-2""></span>Algorithm 5: Proposed SPPM-JSSPA Algorithm > E. Proposed Low-Complexity Algorithm > TABLE III SIMULATION PARAMETERS (L624)"
"C2","Metric definition/usage","O_ISAC_050","2022","<span id=""page-0-6""></span>Visible Light Communication-Enabled Simultaneous Position and Orientation Detection for Harnessing Multipath Interference and Random Fading","","10.1109/TITS.2023.3324361","VLC","Simulation","A. Simulation Settings","received OFDM signals. Moreover, we adopt the Cramer-Rao lower bound (CRLB) in [70] as a performance benchmark of our method, where TOA feature is","Defines/uses metric 'Cramér-Rao' with specific formula or value.","Cramér-Rao","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_050\O_ISAC_050.md","A. Simulation Settings (L537)"
"C2","Metric definition/usage","O_ISAC_050","2022","<span id=""page-0-6""></span>Visible Light Communication-Enabled Simultaneous Position and Orientation Detection for Harnessing Multipath Interference and Random Fading","","10.1109/TITS.2023.3324361","VLC","Simulation","<span id=""page-0-6""></span>Visible Light Communica","assume an ideal line-of-sight (LOS) model, which will lead to model mismatch and hence a large localization error. It is non-trivial to harness the","Defines/uses metric 'localization error' with specific formula or value.","localization error","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_050\O_ISAC_050.md","<span id=""page-0-6""></span>Visible Light Communication-Enabled Simultaneous Position and Orientation Detection for Harnessing Multipath Interference and Random Fading > I. INTRODUCTION > A. Research Motivation (L26)"
"C2","Metric definition/usage","O_ISAC_050","2022","<span id=""page-0-6""></span>Visible Light Communication-Enabled Simultaneous Position and Orientation Detection for Harnessing Multipath Interference and Random Fading","","10.1109/TITS.2023.3324361","VLC","Simulation","A. Simulation Settings","that are widely adopted [12], [24], [67], [68]. Furthermore, we consider SNR = 20 dB, and there are L' = 4 NLOS paths between","Defines/uses metric 'SNR' with specific formula or value.","SNR","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_050\O_ISAC_050.md","A. Simulation Settings (L529)"
"C3","Cross-modality contrast","O_ISAC_050","2022","<span id=""page-0-6""></span>Visible Light Communication-Enabled Simultaneous Position and Orientation Detection for Harnessing Multipath Interference and Random Fading","","10.1109/TITS.2023.3324361","VLC","Simulation","E. Equivalent Channel Model","are distinguishable. Assumptions (A1)–(A3) are standard and necessarily minimum in VLCs, which are widely adopted in VLC literature. #### III. OUR SPAO APPROACH In","VLC paper explicitly contrasts with VLC, evidencing siloed research.","","","VLC vs VLC","0.8","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_050\O_ISAC_050.md","E. Equivalent Channel Model (L293)"
"C4","Cross-domain gap","O_ISAC_050","2022","<span id=""page-0-6""></span>Visible Light Communication-Enabled Simultaneous Position and Orientation Detection for Harnessing Multipath Interference and Random Fading","","10.1109/TITS.2023.3324361","VLC","Simulation","<span id=""page-0-6""></span>Visible Light Communica","interference of diffuse scattering is seldom considered. Hence, it is desired to bridge the gap between VLC-based SPAO and OFDM, in order to reap","Strategic section discusses 'gap' indicating cross-domain transfer issue.","","","Discusses 'gap' in VLC","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_050\O_ISAC_050.md","<span id=""page-0-6""></span>Visible Light Communication-Enabled Simultaneous Position and Orientation Detection for Harnessing Multipath Interference and Random Fading > I. INTRODUCTION > A. Research Motivation (L37)"
"C2","Metric definition/usage","O_ISAC_051","2023","Remote Phase-Shift LiDAR With Communication","IEEE Transactions on Communications","10.1109/TCOMM.2023.3233962","FSO","Experimental","II. MODEL OF PHASE-SHIFT LASER RANGING WITH COMMUN","distance errors mainly originate from the errors in the phase measurements. The signal-to-noise ratios (SNR) of the echo and local signals are $SNR_e =","Defines/uses metric 'SNR' with specific formula or value.","SNR","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_051\O_ISAC_051.md","II. MODEL OF PHASE-SHIFT LASER RANGING WITH COMMUNICATION > III. SOLUTIONS FOR RANGING, COMMUNICATION AND OPTIMIZATION > A. Ranging (L149)"
"C2","Metric definition/usage","O_ISAC_051","2023","Remote Phase-Shift LiDAR With Communication","IEEE Transactions on Communications","10.1109/TCOMM.2023.3233962","FSO","Experimental","II. MODEL OF PHASE-SHIFT LASER RANGING WITH COMMUN","the signal is sampled at the sampling rate $f_s$ , the distance resolution $\Delta R$ based on the heterodyne technique is $\Delta R =","Defines/uses metric 'Δr' with specific formula or value.","Δr","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_051\O_ISAC_051.md","II. MODEL OF PHASE-SHIFT LASER RANGING WITH COMMUNICATION > *A. Ranging* > B. Communication > C. Discussion (L340)"
"C2","Metric definition/usage","O_ISAC_051","2023","Remote Phase-Shift LiDAR With Communication","IEEE Transactions on Communications","10.1109/TCOMM.2023.3233962","FSO","Experimental","II. MODEL OF PHASE-SHIFT LASER RANGING WITH COMMUN",", respectively. According to the LS algorithm, the distance precision is $$\sigma_R = \frac{\lambda}{4\pi\sqrt{M}} \sqrt{\frac{1}{SNR_e} + \frac{1}{SNR_{LO}}},\tag{16}$$ where M is the number of samples","Defines/uses metric 'σR' with specific formula or value.","σR","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_051\O_ISAC_051.md","II. MODEL OF PHASE-SHIFT LASER RANGING WITH COMMUNICATION > III. SOLUTIONS FOR RANGING, COMMUNICATION AND OPTIMIZATION > A. Ranging (L151)"
"C2","Metric definition/usage","O_ISAC_052","2024","Adaptive Resource Allocation in ADO-OFDM for Optical Wireless Integrated Sensing and Communication","IEEE Journal","10.1109/JSTQE.2024.3394923","Other","Simulation","I. INTRODUCTION > A. Communication Receiver > B. S","acquire, the Cramèr-Rao Bound (CRB) is derived as the lower bound for the sensing precision. Since CRB is inversely proportional to the Fisher information,","Defines/uses metric 'CRB' with specific formula or value.","CRB","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_052\O_ISAC_052.md","I. INTRODUCTION > A. Communication Receiver > B. Sensing Receiver (L133)"
"C2","Metric definition/usage","O_ISAC_052","2024","Adaptive Resource Allocation in ADO-OFDM for Optical Wireless Integrated Sensing and Communication","IEEE Journal","10.1109/JSTQE.2024.3394923","Other","Simulation","I. INTRODUCTION > A. Communication Receiver","where $H_c$ denotes the channel gain for OWC, while thermal noise and shot noise are modelled as additive white Gaussian noise (AWGN) $w_c(n)$ .","Defines/uses metric 'shot noise' with specific formula or value.","shot noise","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_052\O_ISAC_052.md","I. INTRODUCTION > A. Communication Receiver (L70)"
"C2","Metric definition/usage","O_ISAC_052","2024","Adaptive Resource Allocation in ADO-OFDM for Optical Wireless Integrated Sensing and Communication","IEEE Journal","10.1109/JSTQE.2024.3394923","Other","Simulation","I. INTRODUCTION > IV. ADAPTIVE RESOURCE ALLOCATION","variable $\eta^*$ on $[\eta_{\min}, \eta_{\max}]$ . ![](_page_4_Figure_15.jpeg) Fig. 3. Trade-off curves w.r.t. communication noise PSDs for $N_s = -100~{\rm dB/Hz}.$ Similarly, the power allocation","Defines/uses metric 'trade-off' with specific formula or value.","trade-off","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_052\O_ISAC_052.md","I. INTRODUCTION > IV. ADAPTIVE RESOURCE ALLOCATION > A. DCO-ACO Power Distribution > B. Subcarrier Power Allocation (L295)"
"C1","Terminology aliasing","O_ISAC_053","2021","Integrated Sensing and Communication in the Visible Spectral Range: A Novel Closed Loop Controller","Journal/Conference","DOI","VLC","Experimental","Integrated Sensing and Communication in the Visibl","6G era is the realization of simultaneous communication and sensing, often referred to as integrated sensing and communication (ISAC) systems [4]. ISAC systems are","Explicit terminology aliasing detected with pattern 'referred to as'.","","referred to as","","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_053\O_ISAC_053.md","Integrated Sensing and Communication in the Visible Spectral Range: A Novel Closed Loop Controller > I. INTRODUCTION (L13)"
"C1","Terminology aliasing","O_ISAC_053","2021","Integrated Sensing and Communication in the Visible Spectral Range: A Novel Closed Loop Controller","Journal/Conference","DOI","VLC","Experimental","Integrated Sensing and Communication in the Visibl","as backscattered VLS systems, because the information inferred about the object (or person) is solely based on light that is reflected from the object.","Explicit terminology aliasing detected with pattern '(or '.","","(or ","","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_053\O_ISAC_053.md","Integrated Sensing and Communication in the Visible Spectral Range: A Novel Closed Loop Controller > I. INTRODUCTION (L17)"
"C5","Framework/benchmark need","O_ISAC_053","2021","Integrated Sensing and Communication in the Visible Spectral Range: A Novel Closed Loop Controller","Journal/Conference","DOI","VLC","Experimental","III. EXPERIMENTAL SETUP","to demonstrate the overall feasibility of our visible light based ISAC approach, in future work we aim for increasing the accuracy of the rotation","Discusses 'future direction' in context of need/lack/proposal.","","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_053\O_ISAC_053.md","III. EXPERIMENTAL SETUP (L97)"
"C1","Terminology aliasing","O_ISAC_054","2024","Optical Integrated Sensing and Communication With Light-Emitting Diode","Journal of the Optical Society of America","10.1109/JIOT.2024.3523045","VLC","Simulation","A. Synergies Between Optical Sensing and Optical C","distribution; 2) utilization of a PD array; and 3) optical beamforming, also known as directional O-ISAC. Thanks to these optimization schemes, the performances of","Explicit terminology aliasing detected with pattern 'also known as'.","","also known as","","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_054\O_ISAC_054.md","A. Synergies Between Optical Sensing and Optical Communication and Two-Phase Operation Mechanism > <span id=""page-7-0""></span>B. Source Layout Optimization > VI. NUMERICAL AND SIMULATION RESULTS (L669)"
"C1","Terminology aliasing","O_ISAC_054","2024","Optical Integrated Sensing and Communication With Light-Emitting Diode","Journal of the Optical Society of America","10.1109/JIOT.2024.3523045","VLC","Simulation","A. Synergies Between Optical Sensing and Optical C","$\beta$ , while the angle at which it exits the lens surface is referred to as the exit angle $\theta$ . The angle between","Explicit terminology aliasing detected with pattern 'referred to as'.","","referred to as","","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_054\O_ISAC_054.md","A. Synergies Between Optical Sensing and Optical Communication and Two-Phase Operation Mechanism > <span id=""page-7-0""></span>B. Source Layout Optimization > V. OPTICAL BEAMFORMING (L535)"
"C1","Terminology variant usage","O_ISAC_054","2024","Optical Integrated Sensing and Communication With Light-Emitting Diode","Journal of the Optical Society of America","10.1109/JIOT.2024.3523045","VLC","Simulation","Optical Integrated Sensing and Communication With ","IEEE* *Abstract***—This article presents a new optical integrated sensing and communication (O-ISAC) framework tailored for costeffective light-emitting diode (LED) for enhanced Internet of Things","Uses distinctive O-ISAC terminology variant 'O-ISAC'.","","O-ISAC","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_054\O_ISAC_054.md","Optical Integrated Sensing and Communication With Light-Emitting Diode (L5)"
"C2","Metric definition/usage","O_ISAC_054","2024","Optical Integrated Sensing and Communication With Light-Emitting Diode","Journal of the Optical Society of America","10.1109/JIOT.2024.3523045","VLC","Simulation","II. RELATED WORK > III. PROBLEM FORMULATION > <spa","\tag{21}$$ We use the MSE of the coordinates to measure the sensing accuracy, giving $$MSE_P = \mathbb{E}\left\{\|\widehat{\boldsymbol{p}}_D - \boldsymbol{p}_D\|^2\right\}. \tag{22}$$ It is worth noting","Defines/uses metric 'sensing accuracy' with specific formula or value.","sensing accuracy","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_054\O_ISAC_054.md","II. RELATED WORK > III. PROBLEM FORMULATION > <span id=""page-4-4""></span>C. Optical Sensing (L273)"
"C2","Metric definition/usage","O_ISAC_054","2024","Optical Integrated Sensing and Communication With Light-Emitting Diode","Journal of the Optical Society of America","10.1109/JIOT.2024.3523045","VLC","Simulation","A. Synergies Between Optical Sensing and Optical C","Synergies Between Optical Sensing and Optical Communication and Two-Phase Operation Mechanism Drawing from (10), we can express the SNR in optical communication as $$SNR","Defines/uses metric 'SNR' with specific formula or value.","SNR","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_054\O_ISAC_054.md","A. Synergies Between Optical Sensing and Optical Communication and Two-Phase Operation Mechanism (L285)"
"C3","Cross-modality contrast","O_ISAC_054","2024","Optical Integrated Sensing and Communication With Light-Emitting Diode","Journal of the Optical Society of America","10.1109/JIOT.2024.3523045","VLC","Simulation","II. RELATED WORK > III. PROBLEM FORMULATION > <spa","light from all range bins can be collected by the optical sensor. Unlike RF-ISAC which analyzes the composition of the received signal to extract","VLC paper explicitly contrasts with other, evidencing siloed research.","","","VLC vs other","0.8","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_054\O_ISAC_054.md","II. RELATED WORK > III. PROBLEM FORMULATION > <span id=""page-4-4""></span>C. Optical Sensing (L194)"
"C2","Metric definition/usage","O_ISAC_055","2023","Free Space Optical Integrated Sensing and Communication Based on LFM and CPM","IEEE Letters","10.1109/LCOMM.2023.3332658","FSO","Simulation","C. CRB for Sensing > <span id=""page-3-2""></span>Al","CPM signal should be $h=h_m/2=4$ , which unfortunately ![](_page_4_Figure_2.jpeg) Fig. 4. RMSE for sensing concerning different modulation indices and chirp rates. ![](_page_4_Figure_4.jpeg) Fig. 5.","Defines/uses metric 'RMSE' with specific formula or value.","RMSE","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_055\O_ISAC_055.md","C. CRB for Sensing > <span id=""page-3-2""></span>Algorithm 1 Elliptical Search Algorithm. > D. Optimal Parameter Setup > IV. NUMERICAL RESULTS (L218)"
"C2","Metric definition/usage","O_ISAC_055","2023","Free Space Optical Integrated Sensing and Communication Based on LFM and CPM","IEEE Letters","10.1109/LCOMM.2023.3332658","FSO","Simulation","II. SYSTEM MODEL > A. LFM-CPM Transmitter for FSO ","parameter setup is established, which maximizes the achievable data rate under constraints on both BER and CRB. #### A. Achievable Data Rate For the","Defines/uses metric 'CRB' with specific formula or value.","CRB","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_055\O_ISAC_055.md","II. SYSTEM MODEL > A. LFM-CPM Transmitter for FSO > B. FSO Channel > III. PERFORMANCE METRICS AND OPTIMIZATION (L96)"
"C2","Metric definition/usage","O_ISAC_055","2023","Free Space Optical Integrated Sensing and Communication Based on LFM and CPM","IEEE Letters","10.1109/LCOMM.2023.3332658","FSO","Simulation","II. SYSTEM MODEL > A. LFM-CPM Transmitter for FSO ","CPM is dominated by the minimum Euclidean distance between different communication symbol sequences for a high signal-to-noise ratio (SNR). Consequently, an asymptotic expression for","Defines/uses metric 'SNR' with specific formula or value.","SNR","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_055\O_ISAC_055.md","II. SYSTEM MODEL > A. LFM-CPM Transmitter for FSO > B. FSO Channel > B. BER for Communication (L119)"
"C1","Terminology aliasing","O_ISAC_056","2024","Optical ISAC: Fundamental Performance Limits and Transceiver Design","IEEE Transactions on Information Theory","10.1109/TIT.2024.3234567","FSO","Simulation","I. INTRODUCTION > II. SYSTEM MODEL > III. MAIN RES","x)$ is asymptotically convex in $r_s$ as either $n_s$ or O-SNR (or both) increase. *Proof.* See the arXiv version [18, Appendix E] for proof","Explicit terminology aliasing detected with pattern '(or '.","","(or ","","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_056\O_ISAC_056.md","I. INTRODUCTION > II. SYSTEM MODEL > III. MAIN RESULT (L190)"
"C1","Terminology variant usage","O_ISAC_056","2024","Optical ISAC: Fundamental Performance Limits and Transceiver Design","IEEE Transactions on Information Theory","10.1109/TIT.2024.3234567","FSO","Simulation","Optical ISAC: Fundamental Performance Limits and T","(DRT) to this optical ISAC context. *Index Terms*—Optical Integrated Sensing and Communication (O-ISAC), Bayesian Cramér-Rao Bound (BCRB), optimal input distribution, modified Deterministic-Random Tradeoff (DRT)","Uses distinctive O-ISAC terminology variant 'O-ISAC'.","","O-ISAC","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_056\O_ISAC_056.md","Optical ISAC: Fundamental Performance Limits and Transceiver Design (L7)"
"C2","Metric definition/usage","O_ISAC_056","2024","Optical ISAC: Fundamental Performance Limits and Transceiver Design","IEEE Transactions on Information Theory","10.1109/TIT.2024.3234567","FSO","Simulation","I. INTRODUCTION > II. SYSTEM MODEL > III. MAIN RES","an least squares (LS) problem with an analytical solution [21]. C. BCRB-Based Approach: OB **Theorem 3.** BCRB for any unbiased estimator $\hat{R}_s$ of $R_s$","Defines/uses metric 'BCRB' with specific formula or value.","BCRB","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_056\O_ISAC_056.md","I. INTRODUCTION > II. SYSTEM MODEL > III. MAIN RESULT (L184)"
"C2","Metric definition/usage","O_ISAC_056","2024","Optical ISAC: Fundamental Performance Limits and Transceiver Design","IEEE Transactions on Information Theory","10.1109/TIT.2024.3234567","FSO","Simulation","IV. NUMERICAL RESULTS","aligns with Lemma 2. We also present the high O-SNR CDF for the Com. Opt. mode (Exp( $\frac{1}{E}$ ), from [19]) and a common","Defines/uses metric 'SNR' with specific formula or value.","SNR","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_056\O_ISAC_056.md","IV. NUMERICAL RESULTS (L241)"
"C3","Cross-modality contrast","O_ISAC_056","2024","Optical ISAC: Fundamental Performance Limits and Transceiver Design","IEEE Transactions on Information Theory","10.1109/TIT.2024.3234567","FSO","Simulation","I. INTRODUCTION","improving vehicle-to-everything (V2X) communication, traffic safety [4], and disaster management [5]. Unlike RF, O-ISAC experiences minimal interference in dense traffic due to laser beam","FSO paper explicitly contrasts with other, evidencing siloed research.","","","FSO vs other","0.8","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_056\O_ISAC_056.md","I. INTRODUCTION (L11)"
"C2","Metric definition/usage","O_ISAC_058","2024","Photonic-Based Flexible Integrated Sensing and Communication With Multiple Targets Detection Capability for W-Band Fiber-Wireless Network","IEEE Transactions on Microwave Theory and Techniques","10.1109/TMTT.2024.3355936","Photo-THz","Experimental","Photonic-Based Flexible Integrated Sensing and Com","the allocation of time and bandwidth resources to achieve tradeoffs between communication data rate (DR), sensing range resolution, and ![](_page_1_Picture_7.jpeg) Fig. 1. Receiving architectures","Defines/uses metric 'range resolution' with specific formula or value.","range resolution","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_058\O_ISAC_058.md","Photonic-Based Flexible Integrated Sensing and Communication With Multiple Targets Detection Capability for *W*-Band Fiber-Wireless Network > <span id=""page-0-0""></span>I. INTRODUCTION (L62)"
"C2","Metric definition/usage","O_ISAC_058","2024","Photonic-Based Flexible Integrated Sensing and Communication With Multiple Targets Detection Capability for W-Band Fiber-Wireless Network","IEEE Transactions on Microwave Theory and Techniques","10.1109/TMTT.2024.3355936","Photo-THz","Experimental","Photonic-Based Flexible Integrated Sensing and Com","of communication can be expressed as DR = *Bc* log2 (1 + SNR), where SNR denotes the signal-to-noise rate of the communication receiving end","Defines/uses metric 'SNR' with specific formula or value.","SNR","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_058\O_ISAC_058.md","Photonic-Based Flexible Integrated Sensing and Communication With Multiple Targets Detection Capability for *W*-Band Fiber-Wireless Network > <span id=""page-0-0""></span>I. INTRODUCTION > II. PRINCIPLE (L117)"
"C2","Metric definition/usage","O_ISAC_058","2024","Photonic-Based Flexible Integrated Sensing and Communication With Multiple Targets Detection Capability for W-Band Fiber-Wireless Network","IEEE Transactions on Microwave Theory and Techniques","10.1109/TMTT.2024.3355936","Photo-THz","Experimental","Photonic-Based Flexible Integrated Sensing and Com","between the peak frequency and target distance can be represented as $$\Delta R = \frac{cT_{\text{LFM}}\Delta f}{2B_r} \tag{28}$$ where $\Delta f$ is the peak frequency","Defines/uses metric 'Δr' with specific formula or value.","Δr","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_058\O_ISAC_058.md","Photonic-Based Flexible Integrated Sensing and Communication With Multiple Targets Detection Capability for *W*-Band Fiber-Wireless Network > <span id=""page-0-0""></span>I. INTRODUCTION > II. PRINCIPLE (L305)"
"C4","Cross-domain gap","O_ISAC_058","2024","Photonic-Based Flexible Integrated Sensing and Communication With Multiple Targets Detection Capability for W-Band Fiber-Wireless Network","IEEE Transactions on Microwave Theory and Techniques","10.1109/TMTT.2024.3355936","Photo-THz","Experimental","Photonic-Based Flexible Integrated Sensing and Com","where *fM* can be expressed as *fM* = *f*IF + *f*GAP + *Bc*. The modulated optical signal is transmitted through optical fiber to the","Strategic section discusses 'gap' indicating cross-domain transfer issue.","","","Discusses 'gap' in Photo-THz, mentions Fiber","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_058\O_ISAC_058.md","Photonic-Based Flexible Integrated Sensing and Communication With Multiple Targets Detection Capability for *W*-Band Fiber-Wireless Network > <span id=""page-0-0""></span>I. INTRODUCTION > II. PRINCIPLE (L128)"
"C4","Cross-domain gap","O_ISAC_059","2024","Terrestrial and Non-Terrestrial Networks for Integrated Sensing and Communication","IEEE International Mediterranean Conference on Communications and Networking","10.1109/MeditCom54998.2024.10118911","Photo-THz","Simulation","I. INTRODUCTION > V. TN-NTN ARCHITECTURES TO ANALY","been addressed yet and convergence and interoperability remain critical gaps to be further investigated. In Fig. 3 a two-layer control system is depicted, which","Strategic section discusses 'gap' indicating cross-domain transfer issue.","","","Discusses 'gap' in Photo-THz","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_059\O_ISAC_059.md","I. INTRODUCTION > V. TN-NTN ARCHITECTURES TO ANALYZE SENSING DATA (L94)"
