Paper_ID,Title,Scenario,Bitrate_Gbps,Resolution_m,Distance_m,Wavelength_nm
O_ISAC_349,Radar-Centric Photonic Terahertz Integrated Sensing and Communication System Based on LFM-PSK Waveform,hybrid,NR,NR,NR,NR
O_ISAC_350,Integrated Nitride optoelectronic chip for motion detection and visible light communication,hybrid,NR,NR,NR,NR
O_ISAC_351,Integrated high precision time-of-flight depth sensing and optical communication based on Hamiltonian coding,hybrid,NR,NR,NR,NR
O_ISAC_354,Integrated Sensing and Communication Chip Based on III-Nitride for Motion Detection,wireless_vlc,NR,NR,NR,NR
O_ISAC_356,Photonic THz-ISAC Demonstration with Simultaneous 120Gbit/s Communication and 2.5mm Sensing Resolution,wireless_fso,120,0.0025,0.5,1552
O_ISAC_360,Monolithic III-nitride photonic circuit for integrated sensing and communication system,cabled_fibre,0.04,Not reported,Not reported,385
O_ISAC_368,A Technical Review of Integrated Sensing and Communication in Optical Transmission System,hybrid,10,10,1000,1550
O_ISAC_371,Design and Analysis of VLC-OCC-CDMA Rake System,wireless_vlc,NR,NR,NR,NR
O_ISAC_377,Photonics-aided integrated sensing and communications in mmW bands based on a DC-offset QPSK-encoded LFMCW,hybrid,NR,NR,NR,NR
O_ISAC_379,Demonstration of photonics-based flexible integration of sensing and communication with adaptive waveforms,hybrid,NR,NR,NR,NR
O_ISAC_381,"Long-Distance, Real-Time LED Display-Camera Communication System Based on LED Point Clustering and Lightweight Image Processing",wireless_vlc,3e-05,0.1,7,630
O_ISAC_386,Design of Visible Light Communication Transceiver System Based on Intelligent Terminal,wireless_vlc,0.001,0.1,1,630
O_ISAC_388,VLC-CDMA Systems Based on Optical Complementary Codes,wireless_vlc,NR,NR,NR,NR
