paper_id,category,metric,symbol,plane,evidence,full_reasoning
O_ISAC_027,Sensing (Est),Refractive Index Sensitivity,Δλ/Δn,N/A,"The sensor shows a refractive index sensitivity of 1200.7 nm/RIU, which corresponds to a salinity sensitivity of 0.192 nm/‰.","The authors evaluate sensing performance using refractive index sensitivity for salinity estimation and compare it with other structures. For the proposed all-optical fiber sensor, they study the sensitivity to seawater salinity, ambient temperature, and pressure."
O_ISAC_027,Sensing (Est),Salinity Sensitivity,Δλ/ΔS,N/A,"The sensitivity of the resonant dip at 1995 nm increases to 1190.6 nm/RIU (a salinity sensitivity of 0.191 nm/‰), and the sensitivity of the resonant dip at 2005 nm is 1200.7 nm/RIU (a salinity sensitivity of 0.192 nm/‰).","The authors evaluate sensing performance using refractive index sensitivity for salinity estimation and compare it with other structures. For the proposed all-optical fiber sensor, they study the sensitivity to seawater salinity, ambient temperature, and pressure."
O_ISAC_027,Sensing (Est),Temperature Sensitivity,Δλ/ΔT,N/A,"The temperature sensitivity of the sensor is -13.16 pm/°C, and the corresponding change in refractive index sensitivity per degree Celsius is measured to be 0.1096%00/°C.","The authors evaluate sensing performance using refractive index sensitivity for salinity estimation and compare it with other structures. For the proposed all-optical fiber sensor, they study the sensitivity to seawater salinity, ambient temperature, and pressure."
O_ISAC_027,Sensing (Est),Refractive Index Sensitivity,RI,N/A,"The sensor shows a refractive index sensitivity of 1200.7 nm/RIU, which corresponds to a salinity sensitivity of 0.192 nm/‰.","The authors evaluate sensing performance using refractive index sensitivity for salinity monitoring and compare it with other structures. For the proposed all-optical fiber sensor, they study the sensitivity to seawater, ambient temperature, and pressure."
O_ISAC_027,Sensing (Est),Salinity Sensitivity,S,N/A,The sensor has a salinity sensitivity of 0.192 nm/‰.,"The authors evaluate sensing performance using refractive index sensitivity for salinity monitoring and compare it with other structures. For the proposed all-optical fiber sensor, they study the sensitivity to seawater, ambient temperature, and pressure."
O_ISAC_027,Sensing (Est),Resolution,ΔRI,N/A,The refractive index of the seawater was selected ranging from 1.307 to 1.314 with a step of 0.001.,"The authors evaluate sensing performance using refractive index sensitivity for salinity monitoring and compare it with other structures. For the proposed all-optical fiber sensor, they study the sensitivity to seawater, ambient temperature, and pressure."
O_ISAC_027,Sensing (Det),Temperature Sensitivity,T,N/A,The temperature sensitivity of the sensor is -13.16 pm/°C.,"The authors evaluate sensing performance using refractive index sensitivity for salinity monitoring and compare it with other structures. For the proposed all-optical fiber sensor, they study the sensitivity to seawater, ambient temperature, and pressure."
O_ISAC_027,Sensing (Det),Pressure Sensitivity,P,N/A,The sensitivity of the resonant dip at 1993 nm is about -25 pm/MPa and the sensitivity of the resonant dip at 2017 nm is -30 pm/MPa.,"The authors evaluate sensing performance using refractive index sensitivity for salinity monitoring and compare it with other structures. For the proposed all-optical fiber sensor, they study the sensitivity to seawater, ambient temperature, and pressure."
O_ISAC_026,Comm Metrics,Throughput,None,Electrical,We achieve 48 Gbit/s in the communication-only mode and 8 Gbit/s in ISAC mode,"The authors propose and experimentally demonstrate a photonic-based MMW fiber-wireless ISAC system at W-band with an integrated waveform. The system achieves 8 Gbit/s access rate and 2.75 cm resolution sensing with the integrated waveform, and 48 Gbit/s access rate with the communication-only waveform. The distance error is less than 1 cm after calibration."
O_ISAC_026,Comm Metrics,BER,Pb,Electrical,BER versus ROP at point F are shown,"The authors propose and experimentally demonstrate a photonic-based MMW fiber-wireless ISAC system at W-band with an integrated waveform. The system achieves 8 Gbit/s access rate and 2.75 cm resolution sensing with the integrated waveform, and 48 Gbit/s access rate with the communication-only waveform. The distance error is less than 1 cm after calibration."
O_ISAC_026,Sensing (Est),Resolution,δr,N/A,"Range resolution is another key metric for radar sensing, which represents the smallest distance between objects that can be distinguished in a single measurement. The theoretical resolution can be expressed as δr = c/2Br","The authors propose and experimentally demonstrate a photonic-based MMW fiber-wireless ISAC system at W-band with an integrated waveform. The system achieves 8 Gbit/s access rate and 2.75 cm resolution sensing with the integrated waveform, and 48 Gbit/s access rate with the communication-only waveform. The distance error is less than 1 cm after calibration."
O_ISAC_026,Sensing (Est),Accuracy,None,N/A,The distance error of the system is less than 1 cm after external calibration,"The authors propose and experimentally demonstrate a photonic-based MMW fiber-wireless ISAC system at W-band with an integrated waveform. The system achieves 8 Gbit/s access rate and 2.75 cm resolution sensing with the integrated waveform, and 48 Gbit/s access rate with the communication-only waveform. The distance error is less than 1 cm after calibration."
O_ISAC_026,Signal Quality,SNR,SNR,Electrical,the main reason why the system communication performance deteriorates with the decrease of optical power is because of the insufficient signal-to-noise ratio (SNR),"The authors propose and experimentally demonstrate a photonic-based MMW fiber-wireless ISAC system at W-band with an integrated waveform. The system achieves 8 Gbit/s access rate and 2.75 cm resolution sensing with the integrated waveform, and 48 Gbit/s access rate with the communication-only waveform. The distance error is less than 1 cm after calibration."
O_ISAC_026,Comm Metrics,Throughput,R,Electrical,We achieve 48 Gbit/s in communication-only mode and 8 Gbit/s in ISAC mode,"The authors propose and experimentally demonstrate a photonic-based MMW fiber-wireless ISAC system at W-band with an integrated waveform. The system achieves 8 Gbit/s access rate and 2.75 cm resolution sensing with the integrated waveform, and 48 Gbit/s access rate with the communication-only waveform. The distance error is less than 1 cm after calibration."
O_ISAC_026,Comm Metrics,BER,Pb,Electrical,BER versus ROP at point F,"The authors propose and experimentally demonstrate a photonic-based MMW fiber-wireless ISAC system at W-band with an integrated waveform. The system achieves 8 Gbit/s access rate and 2.75 cm resolution sensing with the integrated waveform, and 48 Gbit/s access rate with the communication-only waveform. The distance error is less than 1 cm after calibration."
O_ISAC_026,Sensing (Est),Resolution,δr,N/A,"Range resolution is another key metric for radar sensing, which represents the smallest distance between objects that can be distinguished in a single measurement.","The authors propose and experimentally demonstrate a photonic-based MMW fiber-wireless ISAC system at W-band with an integrated waveform. The system achieves 8 Gbit/s access rate and 2.75 cm resolution sensing with the integrated waveform, and 48 Gbit/s access rate with the communication-only waveform. The distance error is less than 1 cm after calibration."
O_ISAC_026,Sensing (Est),Resolution,δr,N/A,"The theoretical resolution can be expressed as δr = c/2Br, which is highly dependent on the bandwidth of the radar signal.","The authors propose and experimentally demonstrate a photonic-based MMW fiber-wireless ISAC system at W-band with an integrated waveform. The system achieves 8 Gbit/s access rate and 2.75 cm resolution sensing with the integrated waveform, and 48 Gbit/s access rate with the communication-only waveform. The distance error is less than 1 cm after calibration."
O_ISAC_026,Sensing (Est),Accuracy,ΔR,N/A,The distance error of the system is less than 1 cm after calibration.,"The authors propose and experimentally demonstrate a photonic-based MMW fiber-wireless ISAC system at W-band with an integrated waveform. The system achieves 8 Gbit/s access rate and 2.75 cm resolution sensing with the integrated waveform, and 48 Gbit/s access rate with the communication-only waveform. The distance error is less than 1 cm after calibration."
O_ISAC_026,Signal Quality,SNR,SNR,Electrical,the main reason why the system communication performance deteriorates with the decrease of optical power is because of the insufficient signal-to-noise ratio (SNR).,"The authors propose and experimentally demonstrate a photonic-based MMW fiber-wireless ISAC system at W-band with an integrated waveform. The system achieves 8 Gbit/s access rate and 2.75 cm resolution sensing with the integrated waveform, and 48 Gbit/s access rate with the communication-only waveform. The distance error is less than 1 cm after calibration."
O_ISAC_020,Sensing (Est),Resolution,Δ,N/A,"The whole fiber can be seen as the interrogator, thus we can obtain a large number of sensing elements along the fiber for joint analysis.","The authors present a photonic integrated sensing and communication system using submarine telecommunication fiber optic cables. They demonstrate the system's capability for ocean wave analysis, earthquake detection, and ferry monitoring. The system utilizes distributed fiber optic sensing technology and phase-sensitive optical time-domain reflectometry (Phi-OTDR) to detect acoustic signals caused by various geological and marine activities."
O_ISAC_020,Sensing (Est),Accuracy,RMSE,N/A,"The system can detect and monitor various coastal and oceanic events with high accuracy, such as ocean waves and seismic waves.","The authors present a photonic integrated sensing and communication system using submarine telecommunication fiber optic cables. They demonstrate the system's capability for ocean wave analysis, earthquake detection, and ferry monitoring. The system utilizes distributed fiber optic sensing technology and phase-sensitive optical time-domain reflectometry (Phi-OTDR) to detect acoustic signals caused by various geological and marine activities."
O_ISAC_020,Sensing (Det),Pd (Detect Prob),Pd,N/A,"The system can detect earthquakes and microseisms with high probability, including those with magnitudes below Mw 2.","The authors present a photonic integrated sensing and communication system using submarine telecommunication fiber optic cables. They demonstrate the system's capability for ocean wave analysis, earthquake detection, and ferry monitoring. The system utilizes distributed fiber optic sensing technology and phase-sensitive optical time-domain reflectometry (Phi-OTDR) to detect acoustic signals caused by various geological and marine activities."
O_ISAC_020,Sensing (Det),Pfa (False Alarm),Pfa,N/A,The system can distinguish seismic signals from other disturbing vibrations using advanced signal processing methods and AI algorithms.,"The authors present a photonic integrated sensing and communication system using submarine telecommunication fiber optic cables. They demonstrate the system's capability for ocean wave analysis, earthquake detection, and ferry monitoring. The system utilizes distributed fiber optic sensing technology and phase-sensitive optical time-domain reflectometry (Phi-OTDR) to detect acoustic signals caused by various geological and marine activities."
O_ISAC_020,Comm Metrics,SNR,SNR,Electrical,"The system uses coherent detection technology to demodulate the amplitude and phase of the Rayleigh backscattering signal, which is essential for phase demodulation in both optical communication and sensing systems.","The authors present a photonic integrated sensing and communication system using submarine telecommunication fiber optic cables. They demonstrate the system's capability for ocean wave analysis, earthquake detection, and ferry monitoring. The system utilizes distributed fiber optic sensing technology and phase-sensitive optical time-domain reflectometry (Phi-OTDR) to detect acoustic signals caused by various geological and marine activities."
O_ISAC_020,Sensing (Est),Resolution (Delta),Δ,N/A,The system can detect and analyze ocean waves with different frequencies and velocities.,"The authors present a photonic integrated sensing and communication system using submarine telecommunication fiber optic cables. They utilize the existing monitoring channel of the commercial optical communication system to perform the sensing function, which provides enough isolation between the optical communication and sensing channels. The system is capable of detecting and analyzing various coastal and oceanic events, including ocean waves, earthquakes, and vessel sailing activities."
O_ISAC_020,Sensing (Est),Accuracy (RMSE/CRB),RMSE/CRB,N/A,"The system can detect microseisms with magnitudes below Mw 2, and the weakest one is Mw 1.1.","The authors present a photonic integrated sensing and communication system using submarine telecommunication fiber optic cables. They utilize the existing monitoring channel of the commercial optical communication system to perform the sensing function, which provides enough isolation between the optical communication and sensing channels. The system is capable of detecting and analyzing various coastal and oceanic events, including ocean waves, earthquakes, and vessel sailing activities."
O_ISAC_020,Sensing (Det),Pd (Detect Prob),Pd,N/A,"The system can detect earthquakes with a magnitude greater than Mw 4, and microseisms with magnitudes below Mw 2.","The authors present a photonic integrated sensing and communication system using submarine telecommunication fiber optic cables. They utilize the existing monitoring channel of the commercial optical communication system to perform the sensing function, which provides enough isolation between the optical communication and sensing channels. The system is capable of detecting and analyzing various coastal and oceanic events, including ocean waves, earthquakes, and vessel sailing activities."
O_ISAC_020,Sensing (Det),Pfa (False Alarm),Pfa,N/A,The system can distinguish seismic signals from other disturbing vibrations using spectrum and time domain analysis with advanced machine learning algorithms.,"The authors present a photonic integrated sensing and communication system using submarine telecommunication fiber optic cables. They utilize the existing monitoring channel of the commercial optical communication system to perform the sensing function, which provides enough isolation between the optical communication and sensing channels. The system is capable of detecting and analyzing various coastal and oceanic events, including ocean waves, earthquakes, and vessel sailing activities."
O_ISAC_020,Signal Quality,SNR (Electrical Plane),SNR,Electrical,The system uses signal-to-noise ratio (SNR) to analyze the detected acoustic or vibration signals.,"The authors present a photonic integrated sensing and communication system using submarine telecommunication fiber optic cables. They utilize the existing monitoring channel of the commercial optical communication system to perform the sensing function, which provides enough isolation between the optical communication and sensing channels. The system is capable of detecting and analyzing various coastal and oceanic events, including ocean waves, earthquakes, and vessel sailing activities."
O_ISAC_018,Sensing (Est),Resolution (Delta),Δ,N/A,achieves a strain detection accuracy of 28 pε/√Hz,The authors evaluate the performance of a RoF system that integrates distributed sensing and telecommunication. They demonstrate the coexistence of distributed sensing and ultra-simple coherent RoF-based front-haul for radio access networks. The system achieves a strain detection accuracy of 28 pε/√Hz and supports 1.6 Gbaud 16-QAM radio transmission in the Ka-band of 28 GHz.
O_ISAC_018,Comm,BER,Pb,Electrical,BER performance of the system under different CSPR conditions,The authors evaluate the performance of a RoF system that integrates distributed sensing and telecommunication. They demonstrate the coexistence of distributed sensing and ultra-simple coherent RoF-based front-haul for radio access networks. The system achieves a strain detection accuracy of 28 pε/√Hz and supports 1.6 Gbaud 16-QAM radio transmission in the Ka-band of 28 GHz.
O_ISAC_018,Comm,Throughput,R,Electrical,supports 1.6 Gbaud 16-QAM radio transmission,The authors evaluate the performance of a RoF system that integrates distributed sensing and telecommunication. They demonstrate the coexistence of distributed sensing and ultra-simple coherent RoF-based front-haul for radio access networks. The system achieves a strain detection accuracy of 28 pε/√Hz and supports 1.6 Gbaud 16-QAM radio transmission in the Ka-band of 28 GHz.
O_ISAC_018,Sensing (Det),Pd (Detect Prob),Pd,N/A,No explicit mention of detection probability,The authors evaluate the performance of a RoF system that integrates distributed sensing and telecommunication. They demonstrate the coexistence of distributed sensing and ultra-simple coherent RoF-based front-haul for radio access networks. The system achieves a strain detection accuracy of 28 pε/√Hz and supports 1.6 Gbaud 16-QAM radio transmission in the Ka-band of 28 GHz.
O_ISAC_018,Sensing (Det),Pfa (False Alarm),Pfa,N/A,No explicit mention of false alarm probability,The authors evaluate the performance of a RoF system that integrates distributed sensing and telecommunication. They demonstrate the coexistence of distributed sensing and ultra-simple coherent RoF-based front-haul for radio access networks. The system achieves a strain detection accuracy of 28 pε/√Hz and supports 1.6 Gbaud 16-QAM radio transmission in the Ka-band of 28 GHz.
O_ISAC_018,Signal Quality,SNR (Electrical Plane),SNR,Electrical,SNR was estimated to be approximately 16 dB from the intensity profile,The authors evaluate the performance of a RoF system that integrates distributed sensing and telecommunication. They demonstrate the coexistence of distributed sensing and ultra-simple coherent RoF-based front-haul for radio access networks. The system achieves a strain detection accuracy of 28 pε/√Hz and supports 1.6 Gbaud 16-QAM radio transmission in the Ka-band of 28 GHz.
O_ISAC_018,Sensing (Est),Resolution (Delta),Δ,N/A,The FWHM of the autocorrelation function is determined by the chirp bandwidth B of the LFM carrier.,The authors evaluate the performance of an ultra-simple RoF system that achieves the coexistence of distributed sensing and telecommunication. They demonstrate the sensing and transmission performance over a 10-km fiber link and a 1-m wireless MMW channel. The system achieves a distributed sensing detection sensitivity of 28 pε/√Hz and supports 1.6 Gbaud 16 QAM radio transmission in the Ka-band of 28 GHz.
O_ISAC_018,Sensing (Est),Accuracy (RMSE/CRB),RMSE,N/A,The strain resolution of 28 pε/√Hz is achieved.,The authors evaluate the performance of an ultra-simple RoF system that achieves the coexistence of distributed sensing and telecommunication. They demonstrate the sensing and transmission performance over a 10-km fiber link and a 1-m wireless MMW channel. The system achieves a distributed sensing detection sensitivity of 28 pε/√Hz and supports 1.6 Gbaud 16 QAM radio transmission in the Ka-band of 28 GHz.
O_ISAC_018,Comm,BER,Pb,Electrical,The BER performance of the system is evaluated under different CSPR conditions.,The authors evaluate the performance of an ultra-simple RoF system that achieves the coexistence of distributed sensing and telecommunication. They demonstrate the sensing and transmission performance over a 10-km fiber link and a 1-m wireless MMW channel. The system achieves a distributed sensing detection sensitivity of 28 pε/√Hz and supports 1.6 Gbaud 16 QAM radio transmission in the Ka-band of 28 GHz.
O_ISAC_018,Comm,Throughput,Gb/s,Electrical,The system supports 1.6 Gbaud 16 QAM radio transmission.,The authors evaluate the performance of an ultra-simple RoF system that achieves the coexistence of distributed sensing and telecommunication. They demonstrate the sensing and transmission performance over a 10-km fiber link and a 1-m wireless MMW channel. The system achieves a distributed sensing detection sensitivity of 28 pε/√Hz and supports 1.6 Gbaud 16 QAM radio transmission in the Ka-band of 28 GHz.
O_ISAC_018,Sensing (Det),Pd (Detect Prob),Pd,N/A,The system achieves a distributed sensing detection sensitivity of 28 pε/√Hz.,The authors evaluate the performance of an ultra-simple RoF system that achieves the coexistence of distributed sensing and telecommunication. They demonstrate the sensing and transmission performance over a 10-km fiber link and a 1-m wireless MMW channel. The system achieves a distributed sensing detection sensitivity of 28 pε/√Hz and supports 1.6 Gbaud 16 QAM radio transmission in the Ka-band of 28 GHz.
O_ISAC_018,Comm,SNR,SNR,Electrical,The communication SNR with QPSK and 16QAM signals under CSPR from 10 dB to 16 dB is evaluated.,The authors evaluate the performance of an ultra-simple RoF system that achieves the coexistence of distributed sensing and telecommunication. They demonstrate the sensing and transmission performance over a 10-km fiber link and a 1-m wireless MMW channel. The system achieves a distributed sensing detection sensitivity of 28 pε/√Hz and supports 1.6 Gbaud 16 QAM radio transmission in the Ka-band of 28 GHz.
O_ISAC_016,Comm Metrics,BER,Pb,Electrical,real-time BER stood at 1.6×10-6,"The authors evaluate the performance of their photonic sub-THz ISAC system using metrics such as BER, SNR, and sensing resolution. They demonstrate a real-time 251.03-Gbps communication rate and an offline 2.5-cm sensing resolution, resulting in a capacity-resolution quotient of up to 100.41 Gbps/cm."
O_ISAC_016,Comm Metrics,Throughput,R,Electrical,real-time line rate of 251.03 Gbps,"The authors evaluate the performance of their photonic sub-THz ISAC system using metrics such as BER, SNR, and sensing resolution. They demonstrate a real-time 251.03-Gbps communication rate and an offline 2.5-cm sensing resolution, resulting in a capacity-resolution quotient of up to 100.41 Gbps/cm."
O_ISAC_016,Comm Metrics,SNR,SNR,Electrical,SNR can reach 19 dB,"The authors evaluate the performance of their photonic sub-THz ISAC system using metrics such as BER, SNR, and sensing resolution. They demonstrate a real-time 251.03-Gbps communication rate and an offline 2.5-cm sensing resolution, resulting in a capacity-resolution quotient of up to 100.41 Gbps/cm."
O_ISAC_016,Sensing (Est),Resolution,Δ,N/A,an ultra-high radial sensing resolution of up to 2.5 cm,"The authors evaluate the performance of their photonic sub-THz ISAC system using metrics such as BER, SNR, and sensing resolution. They demonstrate a real-time 251.03-Gbps communication rate and an offline 2.5-cm sensing resolution, resulting in a capacity-resolution quotient of up to 100.41 Gbps/cm."
O_ISAC_016,Comm Metrics,Throughput,R,Electrical,real-time 251.03-Gbps communication rate,"The authors evaluate the performance of a photonic sub-THz ISAC system, demonstrating a real-time 251.03-Gbps communication rate and an offline 2.5-cm sensing resolution. The system's communication performance is assessed through BER and SNR measurements, while the sensing resolution is determined through range estimation using an optical frequency comb."
O_ISAC_016,Comm Metrics,BER,Pb,Electrical,real-time BER stood at 1.6×10-6,"The authors evaluate the performance of a photonic sub-THz ISAC system, demonstrating a real-time 251.03-Gbps communication rate and an offline 2.5-cm sensing resolution. The system's communication performance is assessed through BER and SNR measurements, while the sensing resolution is determined through range estimation using an optical frequency comb."
O_ISAC_016,Comm Metrics,SNR,SNR,Electrical,SNR can reach 19 dB,"The authors evaluate the performance of a photonic sub-THz ISAC system, demonstrating a real-time 251.03-Gbps communication rate and an offline 2.5-cm sensing resolution. The system's communication performance is assessed through BER and SNR measurements, while the sensing resolution is determined through range estimation using an optical frequency comb."
O_ISAC_016,Sensing (Est),Resolution,Δ,N/A,offline 2.5-cm radial resolution,"The authors evaluate the performance of a photonic sub-THz ISAC system, demonstrating a real-time 251.03-Gbps communication rate and an offline 2.5-cm sensing resolution. The system's communication performance is assessed through BER and SNR measurements, while the sensing resolution is determined through range estimation using an optical frequency comb."
O_ISAC_011,Comm Metrics,BER,Pb,Electrical,Fig. 4 compares the different modulation order's BER performance in different transmitted SNR,"The authors evaluate the performance of a retroreflective optical ISAC system using OFDM for both communication and sensing. For communication, they analyze the BER performance under different modulation orders and transmitted SNR. For sensing, they investigate the distance measurement RMSE and positioning RMSE using cross-correlation calculation and linear least squares estimation method."
O_ISAC_011,Sensing (Est),RMSE,RMSE,N/A,Fig. 5 shows the influence of the number of symbols that used to make cross-correlation calculation to the distance measurement root mean square error (RMSE),"The authors evaluate the performance of a retroreflective optical ISAC system using OFDM for both communication and sensing. For communication, they analyze the BER performance under different modulation orders and transmitted SNR. For sensing, they investigate the distance measurement RMSE and positioning RMSE using cross-correlation calculation and linear least squares estimation method."
O_ISAC_011,Sensing (Est),Resolution,Δd,N/A,"The range resolution is given by Δd = cTs/2, with Ts represents for the sampling interval, and the simulation takes a DAC sampling rate of 5GSa/s and an ADC sampling rate of 15GSa/s, resulting in a range resolution of 1cm","The authors evaluate the performance of a retroreflective optical ISAC system using OFDM for both communication and sensing. For communication, they analyze the BER performance under different modulation orders and transmitted SNR. For sensing, they investigate the distance measurement RMSE and positioning RMSE using cross-correlation calculation and linear least squares estimation method."
O_ISAC_011,Comm Metrics,BER,Pb,Electrical,Fig. 4 compares the different modulation order's BER performance in different transmitted SNR,"The authors evaluate the performance of a retroreflective optical ISAC system using OFDM for 3D positioning in indoor environments. They analyze the system's communication and sensing capabilities, including the effects of noise on distance measurement and positioning accuracy. The system's performance is evaluated through simulations, which demonstrate the impact of modulation order, symbol number, and transmitted SNR on BER and distance measurement RMSE."
O_ISAC_011,Sensing (Est),RMSE,RMSE,N/A,Fig. 5 shows the influence of the number of symbols that used to make cross-correlation calculation to the distance measurement root mean square error (RMSE),"The authors evaluate the performance of a retroreflective optical ISAC system using OFDM for 3D positioning in indoor environments. They analyze the system's communication and sensing capabilities, including the effects of noise on distance measurement and positioning accuracy. The system's performance is evaluated through simulations, which demonstrate the impact of modulation order, symbol number, and transmitted SNR on BER and distance measurement RMSE."
O_ISAC_011,Sensing (Est),Resolution,Δd,N/A,"The range resolution is given by Δd = cTs/2, with Ts represents for the sampling interval, and the simulation takes a DAC sampling rate of 5GSa/s and an ADC sampling rate of 15GSa/s, resulting in a range resolution of 1cm","The authors evaluate the performance of a retroreflective optical ISAC system using OFDM for 3D positioning in indoor environments. They analyze the system's communication and sensing capabilities, including the effects of noise on distance measurement and positioning accuracy. The system's performance is evaluated through simulations, which demonstrate the impact of modulation order, symbol number, and transmitted SNR on BER and distance measurement RMSE."
O_ISAC_011,Comm Metrics,SNR,SNR,Electrical,Fig. 4 and Fig. 6 show the BER and distance measurement RMSE performance in different transmitted SNR,"The authors evaluate the performance of a retroreflective optical ISAC system using OFDM for 3D positioning in indoor environments. They analyze the system's communication and sensing capabilities, including the effects of noise on distance measurement and positioning accuracy. The system's performance is evaluated through simulations, which demonstrate the impact of modulation order, symbol number, and transmitted SNR on BER and distance measurement RMSE."
O_ISAC_060,Comm Metrics,BER,Pb,Electrical,Fig. 2 shows the BER of received ISAC-OW signals versus signal-to-noise ratio (SNR) with and without spectrum-spreading process under different turbulence channels.,The authors propose a unified waveform for optical wireless integrated sensing and communication (ISAC-OW) based on quadrature phase shift keying (QPSK) and direct sequence spread spectrum (DSSS). They evaluate the system's performance using bit error rate (BER) and ranging accuracy. The results show that the proposed system can guarantee excellent ranging performance and achieve high-speed data transmission.
O_ISAC_060,Comm Metrics,Throughput,Rb,Electrical,"The transmission rate of MPSK-DSSS can be expressed as Rb = log2(M) / (LTc), where M is the modulation order.",The authors propose a unified waveform for optical wireless integrated sensing and communication (ISAC-OW) based on quadrature phase shift keying (QPSK) and direct sequence spread spectrum (DSSS). They evaluate the system's performance using bit error rate (BER) and ranging accuracy. The results show that the proposed system can guarantee excellent ranging performance and achieve high-speed data transmission.
O_ISAC_060,Sensing (Est),Resolution (Delta),None,N/A,"The ranging result is 100.011 m, which indicates that the proposed method has high ranging accuracy under the premise of ensuring BER.",The authors propose a unified waveform for optical wireless integrated sensing and communication (ISAC-OW) based on quadrature phase shift keying (QPSK) and direct sequence spread spectrum (DSSS). They evaluate the system's performance using bit error rate (BER) and ranging accuracy. The results show that the proposed system can guarantee excellent ranging performance and achieve high-speed data transmission.
O_ISAC_060,Sensing (Est),Accuracy (RMSE/CRB),None,N/A,"The ranging result is 100.011 m, which indicates that the proposed method has high ranging accuracy under the premise of ensuring BER.",The authors propose a unified waveform for optical wireless integrated sensing and communication (ISAC-OW) based on quadrature phase shift keying (QPSK) and direct sequence spread spectrum (DSSS). They evaluate the system's performance using bit error rate (BER) and ranging accuracy. The results show that the proposed system can guarantee excellent ranging performance and achieve high-speed data transmission.
O_ISAC_060,Comm Metrics,SNR,SNR,Electrical,Fig. 2 shows the BER of received ISAC-OW signals versus signal-to-noise ratio (SNR) with and without spectrum-spreading process under different turbulence channels.,The authors propose a unified waveform for optical wireless integrated sensing and communication (ISAC-OW) based on quadrature phase shift keying (QPSK) and direct sequence spread spectrum (DSSS). They evaluate the system's performance using bit error rate (BER) and ranging accuracy. The results show that the proposed system can guarantee excellent ranging performance and achieve high-speed data transmission.
O_ISAC_060,Comm Metrics,BER,Pb,Electrical,Fig. 2 shows the BER of received ISAC-OW signals versus signal-to-noise ratio (SNR) with and without spectrum-spreading process under different turbulence channels.,The authors propose a unified waveform for optical wireless integrated sensing and communication (ISAC-OW) based on quadrature phase shift keying (QPSK) and direct sequence spread spectrum (DSSS). They evaluate the system's performance using bit error rate (BER) and ranging accuracy. The results show that the proposed system can guarantee excellent ranging performance and achieve high-speed data transmission.
O_ISAC_060,Comm Metrics,Transmission Rate,Rb,Electrical,"The transmission rate of MPSK-DSSS can be expressed as Rb = log2(M) / (LTc), where M is the modulation order.",The authors propose a unified waveform for optical wireless integrated sensing and communication (ISAC-OW) based on quadrature phase shift keying (QPSK) and direct sequence spread spectrum (DSSS). They evaluate the system's performance using bit error rate (BER) and ranging accuracy. The results show that the proposed system can guarantee excellent ranging performance and achieve high-speed data transmission.
O_ISAC_060,Sensing (Est),Ranging Accuracy,R0,N/A,"The ranging result is 100.011 m, which indicates that the proposed method has high ranging accuracy under the premise of ensuring BER.",The authors propose a unified waveform for optical wireless integrated sensing and communication (ISAC-OW) based on quadrature phase shift keying (QPSK) and direct sequence spread spectrum (DSSS). They evaluate the system's performance using bit error rate (BER) and ranging accuracy. The results show that the proposed system can guarantee excellent ranging performance and achieve high-speed data transmission.
O_ISAC_031,Comm Metrics,BER,Pb,Electrical,"The bit error rate (BER) is 0, confirming zero-error communication.","The authors evaluate the performance of their proposed photonics-enabled full-duplex millimeter-wave integrated sensing and communication system. They analyze the system's self-interference cancellation (SIC) capability, communication performance, and radar sensing performance. The results show that the system achieves a SIC depth of 43.7 dB and enables effective communication and radar sensing."
O_ISAC_031,Sensing (Detection),PSLR,PSLR,N/A,"The autocorrelation diagram of the SOI is analyzed at ADC as Fig. 3(d), yielding a peak-to-sidelobe ratio (PSLR) of 15.35 dB, demonstrating the LFM-BPSK signal's effective anti-jamming capability.","The authors evaluate the performance of their proposed photonics-enabled full-duplex millimeter-wave integrated sensing and communication system. They analyze the system's self-interference cancellation (SIC) capability, communication performance, and radar sensing performance. The results show that the system achieves a SIC depth of 43.7 dB and enables effective communication and radar sensing."
O_ISAC_031,Comm Metrics,SIC depth,SIC,Electrical,"The self-interference signal is configured as an LFM-BPSK signal, with no SOI added. Attenuating and delaying the self-interfering signals simulate transmission loss and delay in the wireless channel. Fig. 3(a) shows that the proposed scheme can achieve a SIC depth of 43.7 dB.","The authors evaluate the performance of their proposed photonics-enabled full-duplex millimeter-wave integrated sensing and communication system. They analyze the system's self-interference cancellation (SIC) capability, communication performance, and radar sensing performance. The results show that the system achieves a SIC depth of 43.7 dB and enables effective communication and radar sensing."
O_ISAC_031,Comm Metrics,BER,Pb,Electrical,"The bit error rate (BER) is 0, confirming zero-error communication.",The authors propose a photonics-enabled full-duplex millimeter-wave integrated sensing and communication system. They evaluate the system's self-interference cancellation (SIC) capability and its impact on communication and radar sensing performance. The results show a SIC depth of 43.7 dB and successful communication with zero bit error rate (BER). The radar sensing performance is also demonstrated with a peak-to-sidelobe ratio (PSLR) of 15.35 dB.
